alert_id,cve_id
AA20-336A,T1571
AA20-336A,T1014
AA20-336A,T1568
AA20-336A,T1049
AA20-336A,T1548
AA20-336A,T1528
AA20-336A,T1112
AA20-336A,T1559
AA20-336A,T1213
AA20-336A,T1114
AA20-336A,T1197
AA20-336A,T1135
AA20-336A,T1110
AA20-336A,T1529
AA20-336A,T1552
AA20-336A,T1102
AA20-336A,T1037
AA20-336A,T1562
AA20-336A,T1572
AA20-336A,T1074
AA20-336A,T1505
AA20-336A,T1095
AA20-336A,T1560
AA20-336A,T1113
AA20-336A,T1016
AA20-336A,T1543
AA20-336A,T1059
AA20-336A,T1574
AA20-336A,T1120
AA20-336A,T1091
AA20-336A,T1210
AA20-336A,T1105
AA20-336A,T1056
AA20-336A,T1001
AA20-336A,T1550
AA20-336A,T1137
AA20-336A,T1211
AA20-336A,T1176
AA20-336A,T1027
AA20-304A,T1190
AA20-304A,T1584
AA20-304A,T1595
AA20-304A,T1593
AA20-302A,T1106
AA20-302A,T1486
AA20-302A,T1016
AA20-302A,T1489
AA20-302A,T1562
AA20-302A,T1059
AA20-302A,T1490
AA20-302A,T1083
AA20-302A,T1047
AA20-302A,T1057
AA20-302A,T1036
AA20-302A,T1134
AA20-302A,T1055
AA20-301A,T1573
AA20-301A,T1566
AA20-301A,T1114
AA20-301A,T1003
AA20-301A,T1547
AA20-301A,T1219
AA20-301A,T1070
AA20-301A,T1562
AA20-301A,T1040
AA20-301A,T1021
AA20-301A,T1218
AA20-301A,T1189
AA20-301A,T1074
AA20-301A,T1505
AA20-301A,T1560
AA20-301A,T1185
AA20-301A,T1059
AA20-301A,T1082
AA20-301A,T1083
AA20-301A,T1055
AA20-301A,T1548
AA20-301A,T1056
AA20-301A,T1550
AA20-301A,T1546
AA20-296A,T1078
AA20-296A,T1190
AA20-296A,T1189
AA20-296A,T1133
AA20-296A,T1110
AA20-283A,T1190
AA20-283A,T1078
AA20-283A,T1133
AA20-280A,T1573
AA20-280A,T1566
AA20-280A,T1114
AA20-280A,T1003
AA20-280A,T1547
AA20-280A,T1110
AA20-280A,T1552
AA20-280A,T1071
AA20-280A,T1040
AA20-280A,T1041
AA20-280A,T1021
AA20-280A,T1047
AA20-280A,T1560
AA20-280A,T1078
AA20-280A,T1543
AA20-280A,T1059
AA20-280A,T1087
AA20-280A,T1204
AA20-280A,T1571
AA20-280A,T1555
AA20-280A,T1053
AA20-280A,T1210
AA20-280A,T1055
AA20-280A,T1057
AA20-280A,T1027
AA20-275A,T1566
AA20-275A,T1046
AA20-275A,T1114
AA20-275A,T1547
AA20-275A,T1326
AA20-275A,T1110
AA20-275A,T1247
AA20-275A,T1254
AA20-275A,T1071
AA20-275A,T1018
AA20-275A,T1334
AA20-275A,T1189
AA20-275A,T1505
AA20-275A,T1288
AA20-275A,T1016
AA20-275A,T1027
AA20-275A,T1059
AA20-275A,T1574
AA20-275A,T1204
AA20-275A,T1330
AA20-275A,T1090
AA20-275A,T1105
AA20-275A,T1362
AA20-275A,T1072
AA20-266A,T1016
AA20-266A,T1071
AA20-266A,T1041
AA20-266A,T1056
AA20-266A,T1204
AA20-266A,T1082
AA20-266A,T1555
AA20-266A,T1564
AA20-266A,T1546
AA20-266A,T1033
AA20-266A,T1055
AA20-266A,T1027
AA20-259A,T1213
AA20-259A,T1558
AA20-259A,T1003
AA20-259A,T1070
AA20-259A,T1552
AA20-259A,T1563
AA20-259A,T1071
AA20-259A,T1572
AA20-259A,T1018
AA20-259A,T1021
AA20-259A,T1190
AA20-259A,T1505
AA20-259A,T1530
AA20-259A,T1560
AA20-259A,T1059
AA20-259A,T1087
AA20-259A,T1083
AA20-259A,T1039
AA20-259A,T1555
AA20-259A,T1005
AA20-259A,T1053
AA20-259A,T1036
AA20-259A,T1217
