Cluster ID,Id
57,2719
58,205
58,553
59,220
59,221
59,222
59,399
59,419
59,772
59,778
59,801
59,937
59,948
59,951
59,967
59,968
59,969
59,972
59,1531
59,1939
59,2564
59,2606
60,226
60,556
61,231
61,974
62,232
62,981
63,242
63,1747
63,1750
63,2558
63,3138
64,249
64,1090
64,1212
64,1340
64,1341
64,1343
64,2271
64,2283
64,2899
64,2924
64,3376
64,3432
64,3433
64,3591
65,253
65,964
65,1410
65,2620
66,269
66,1080
66,1086
66,1265
66,1274
66,1537
66,1618
66,2102
66,2903
66,2906
66,2955
66,3092
66,3115
66,3146
66,3148
66,3162
66,3232
66,3471
66,3525
66,3586
66,3588
67,271
67,1018
67,1345
67,1442
67,2682
67,2691
67,2736
67,2962
67,3231
67,3424
67,3476
67,3553
67,3555
68,274
68,2115
69,277
69,1964
69,2867
69,3116
69,3126
69,3180
69,3189
69,3267
69,3274
69,3275
69,3284
69,3302
69,3304
69,3358
69,3363
69,3367
69,3395
69,3411
69,3413
69,3429
69,3436
69,3437
69,3440
69,3477
69,3479
69,3480
69,3482
69,3484
69,3529
70,286
70,1433
70,2379
70,2602
70,2911
70,2947
70,3158
70,3201
70,3234
71,287
71,768
71,1065
71,2402
71,2461
71,2797
71,2798
72,288
72,295
72,298
72,1381
72,1449
72,1506
72,1526
72,1527
72,1552
72,1771
72,1779
72,1938
72,2206
72,2343
72,2562
72,2639
72,2805
72,2920
72,3587
73,297
73,633
73,1448
73,2111
73,2114
73,2161
73,2165
73,3294
74,299
74,1096
75,303
75,304
75,346
75,476
75,1253
75,1281
75,1379
75,1457
75,2086
75,2673
75,2739
75,2791
75,3209
75,3557
76,314
76,622
76,623
76,625
76,823
76,1996
76,2352
76,2552
77,316
77,2423
78,324
78,372
78,458
78,460
78,616
78,647
78,736
78,755
78,835
78,1107
78,1390
78,1530
78,1554
78,1703
78,1705
78,1706
78,1708
78,1710
78,1712
78,1715
78,1716
78,2152
78,2163
78,2364
78,2439
78,2792
78,3001
78,3269
78,3388
78,3390
78,3403
78,3405
79,328
79,1001
80,341
80,570
80,1532
80,1605
80,1962
81,342
81,827
82,347
82,716
82,898
82,939
82,1079
82,1296
83,349
83,432
83,1373
83,1675
83,1676
83,1871
83,1936
83,1950
83,2587
84,357
84,1461
84,1470
84,1472
85,365
85,370
86,369
86,1475
86,1478
86,1853
86,2047
86,2072
86,2661
86,2663
86,2666
87,375
87,1261
87,1991
87,2466
87,2732
87,3134
87,3135
87,3186
87,3412
88,380
88,693
88,695
88,754
88,1063
88,1229
88,2579
88,2581
89,394
89,2002
89,2003
89,2004
89,2015
90,401
90,689
90,697
90,931
90,932
91,429
91,1663
91,2125
91,2140
92,430
92,439
92,678
92,893
92,979
92,1248
92,1319
92,1320
92,1321
92,1977
92,2250
92,2269
92,2272
92,2281
92,2504
92,3031
92,3064
92,3075
92,3285
92,3339
92,3464
92,3466
92,3487
92,3497
92,3499
92,3518
92,3521
92,3564
93,431
93,3246
94,443
94,574
94,1249
94,1694
94,1772
95,451
95,573
95,1682
95,2246
95,2265
95,2266
95,2322
95,3002
96,455
96,469
96,583
96,585
96,587
96,588
96,797
96,839
96,1050
96,1051
96,1541
96,1542
96,1543
96,2133
96,2563
96,2567
96,3301
96,3305
97,461
97,2284
98,482
98,1733
99,489
99,2615
100,490
100,527
100,2622
101,500
101,658
101,2808
101,2965
102,540
102,1512
102,1515
102,1764
103,544
103,2174
103,2175
103,2179
103,2181
104,581
104,1834
105,598
105,1262
105,1913
105,2231
105,2279
105,2353
106,607
106,1399
106,1431
106,2123
106,2852
107,608
107,2984
108,626
108,1720
109,632
109,2359
110,635
110,1192
110,2496
110,2643
110,2864
111,688
111,698
111,714
111,933
111,1638
111,1875
112,691
112,1062
113,706
113,2157
114,739
114,2346
115,753
115,2365
116,761
116,925
116,1655
116,2112
116,2630
116,2708
116,2944
117,765
117,2535
118,769
118,1441
119,786
119,862
119,873
119,876
119,1464
119,1678
119,1689
119,1749
119,1824
119,1826
119,1904
119,1905
119,2528
119,2817
119,2895
119,2896
119,2897
119,2991
119,3181
119,3188
119,3199
119,3268
119,3270
119,3298
119,3299
119,3303
119,3308
119,3309
119,3310
119,3311
119,3319
119,3328
119,3352
119,3353
119,3354
119,3355
119,3356
119,3357
119,3389
119,3404
119,3473
119,3498
119,3503
119,3504
119,3539
119,3540
119,3542
119,3589
120,832
120,2877
121,841
121,2453
121,2887
122,849
122,2103
123,871
123,1147
123,1453
123,1565
123,1594
123,1619
123,1978
123,2014
123,2277
123,2578
123,3416
123,3417
123,3418
123,3584
124,910
124,1878
125,911
125,2143
126,921
126,922
126,927
126,2482
126,2489
127,944
127,1125
128,950
128,1284
129,982
129,984
129,985
130,992
130,1869
130,3371
130,3372
130,3522
130,3552
131,997
131,999
131,1157
131,1307
131,1590
131,1987
131,2559
131,3044
132,1038
132,1830
132,1883
132,1983
132,2160
132,2243
132,2254
132,2471
132,2573
132,2749
132,2910
132,3098
132,3289
132,3445
132,3585
132,3592
133,1076
133,1089
133,1091
133,1777
134,1077
134,1081
135,1082
135,1083
136,1109
136,1114
136,1159
136,1519
136,1769
136,1773
136,1774
136,1788
136,1795
136,1797
136,2544
137,1137
137,1609
137,2104
137,2840
138,1166
138,1169
138,1171
138,1172
138,1260
138,1387
138,1400
138,1608
138,3108
138,3109
138,3111
138,3113
138,3123
138,3127
138,3133
138,3136
138,3155
138,3156
138,3157
138,3159
138,3160
138,3161
138,3164
138,3165
138,3166
138,3167
138,3174
138,3176
138,3177
138,3178
138,3196
138,3197
138,3198
138,3215
138,3220
138,3222
138,3252
138,3256
138,3257
138,3259
138,3306
138,3594
138,3600
139,1179
139,2519
140,1188
140,1190
141,1224
141,1226
142,1240
142,3169
142,3224
142,3253
143,1292
143,1640
143,1848
144,1314
144,3237
145,1395
145,1474
146,1466
146,1959
146,2088
146,2097
146,3548
146,3550
146,3579
147,1497
147,1499
147,1509
147,1514
148,1504
148,1617
148,1898
148,2019
148,2512
148,2890
148,3009
148,3034
148,3035
149,1522
149,2426
149,2964
149,2971
150,1557
150,3118
151,1641
151,1866
151,2153
151,2575
152,1738
152,1740
152,1741
152,1742
152,1744
152,2847
153,1812
153,2568
153,3266
154,1822
154,2839
154,3028
155,1825
155,2262
155,2878
155,3323
155,3332
155,3335
155,3359
155,3364
155,3368
155,3392
155,3393
155,3400
155,3401
155,3402
155,3407
155,3426
155,3427
155,3441
155,3474
155,3478
155,3483
155,3512
155,3514
156,1827
156,2240
157,1828
157,2381
157,3131
157,3168
157,3216
157,3221
157,3551
158,1857
158,1860
158,1861
158,1862
158,2349
159,1890
159,2305
159,2660
159,2735
159,2855
160,1901
160,2633
160,2851
161,1911
161,2766
162,2005
162,2011
162,2449
162,3183
162,3184
162,3324
162,3325
162,3394
163,2020
163,2117
163,2892
163,2934
163,3601
164,2065
164,3013
165,2122
165,2300
165,2339
166,2285
166,2456
166,3015
166,3054
166,3057
167,2286
167,2565
167,2902
167,2904
168,2298
168,2304
168,2337
169,2372
169,2376
170,2484
170,2761
170,2802
171,2507
171,2510
171,2513
172,2518
172,2525
172,3530
173,2625
173,3307
174,2675
174,2786
175,2703
175,2880
176,2775
176,2776
177,2811
177,2815
177,3195
177,3312
177,3543
178,2900
178,2901
178,3217
178,3596
178,3597
178,3598
178,3599
179,2912
179,3228
179,3233
180,2935
180,2936
181,2948
181,3212
181,3213
181,3227
182,3117
182,3272
182,3277
182,3278
182,3280
182,3282
182,3283
182,3360
182,3435
182,3451
182,3493
182,3532
182,3533
183,3414
183,3430
184,7
184,50
184,80
184,175
184,213
184,352
184,462
184,711
184,1122
184,1123
184,1547
184,2462
185,8
185,24
185,3293
186,9
186,178
186,258
186,1059
186,1585
186,1673
186,1761
186,1965
186,1982
186,2166
186,2465
186,2493
186,2616
186,3072
187,10
187,113
187,418
187,1132
188,17
188,566
188,571
189,19
189,472
189,1392
189,1931
189,2071
189,2614
189,2629
189,2990
189,3182
189,3320
189,3321
190,2201
190,3099
190,3130
191,22
191,584
191,3398
192,26
192,30
192,211
192,216
192,217
192,894
192,971
192,1019
192,1024
